iter	RMSE
0	3042.517548
1	2498.156917
2	2288.419594
3	2157.712881
4	2096.292078
5	2057.880531
6	2030.47849
7	2009.23711
8	1996.250296
9	1981.891203
10	1967.002473
11	1952.796852
12	1944.906245
13	1932.393487
14	1926.168563
15	1915.906064
16	1903.88374
17	1898.470913
18	1891.529911
19	1884.963279
20	1876.951206
21	1872.094209
22	1866.878635
23	1859.744743
24	1854.594237
25	1848.92258
26	1842.887003
27	1839.513841
28	1835.286864
29	1830.935197
30	1825.886964
31	1822.396886
32	1817.167189
33	1813.409337
34	1809.798609
35	1805.636196
36	1802.52285
37	1799.990968
38	1795.255221
39	1792.412346
40	1788.164083
41	1784.840787
42	1779.944736
43	1777.375298
44	1774.710825
45	1773.07971
46	1769.208922
47	1766.362319
48	1763.263975
49	1760.670186
50	1758.276271
51	1756.04811
52	1752.84802
53	1750.146306
54	1747.544543
55	1745.820227
56	1743.478159
57	1741.458195
58	1739.244592
59	1737.306095
60	1735.063705
61	1733.841337
62	1732.051849
63	1729.572009
64	1727.881822
65	1726.344845
66	1723.904588
67	1722.048276
68	1720.20164
69	1718.313985
70	1716.644329
71	1714.31274
72	1713.063711
73	1710.722892
74	1707.944156
75	1706.361576
76	1703.956047
77	1702.306588
78	1699.29132
79	1697.824897
80	1695.341487
81	1693.955853
82	1692.393634
83	1690.815462
84	1689.263748
85	1687.953851
86	1687.215302
87	1685.59397
88	1684.5554
89	1683.310622
90	1682.573086
91	1681.108112
92	1678.902959
93	1677.699686
94	1676.477286
95	1673.999753
96	1672.327973
97	1671.202572
98	1669.724838
99	1668.580176
100	1666.546407
101	1665.47565
102	1663.86508
103	1662.536475
104	1661.10296
105	1659.240314
106	1658.07612
107	1657.29023
108	1655.963554
109	1654.786625
110	1653.628349
111	1652.44632
112	1651.658398
113	1651.017177
114	1649.651012
115	1648.762469
116	1647.250272
117	1646.067019
118	1644.895659
119	1643.898492
120	1642.897412
121	1642.093658
122	1641.493196
123	1640.62534
124	1639.001378
125	1637.731947
126	1636.808682
127	1635.297013
128	1634.040035
129	1632.936817
130	1631.958785
131	1631.130381
132	1630.197213
133	1628.685743
134	1627.745318
135	1626.511626
136	1625.401203
137	1624.893852
138	1623.503681
139	1622.659261
140	1621.891985
141	1621.061399
142	1619.013736
143	1618.058746
144	1617.394427
145	1616.511721
146	1615.648737
147	1615.061175
148	1614.042997
149	1613.539548
150	1612.728677
151	1612.190653
152	1610.970285
153	1610.355412
154	1609.450383
155	1608.848381
156	1608.112853
157	1607.099735
158	1605.941308
159	1605.296366
160	1604.466811
161	1604.176507
162	1603.372309
163	1602.237814
164	1601.623677
165	1601.058614
166	1600.461834
167	1599.766585
168	1598.922017
169	1597.99778
170	1597.583255
171	1597.141377
172	1596.733344
173	1596.066995
174	1595.594979
175	1594.226754
176	1594.097756
177	1593.416409
178	1592.73315
