iter	Passed	Remaining
0	40	40308
1	79	39636
2	138	46155
3	182	45421
4	222	44367
5	258	42905
6	297	42167
7	330	40949
8	365	40294
9	398	39443
10	435	39124
11	471	38826
12	507	38499
13	542	38186
14	574	37758
15	609	37475
16	644	37253
17	677	36947
18	711	36733
19	743	36453
20	778	36287
21	813	36175
22	847	36018
23	879	35782
24	913	35632
25	950	35610
26	987	35570
27	1023	35542
28	1058	35452
29	1094	35390
30	1142	35711
31	1175	35573
32	1209	35447
33	1246	35424
34	1283	35394
35	1323	35440
36	1357	35333
37	1391	35231
38	1433	35318
39	1484	35622
40	1524	35666
41	1558	35540
42	1599	35596
43	1635	35529
44	1668	35410
45	1699	35244
46	1738	35259
47	1771	35139
48	1805	35050
49	1837	34915
50	1870	34797
51	1902	34688
52	1937	34625
53	1972	34550
54	2007	34498
55	2045	34474
56	2080	34423
57	2112	34304
58	2144	34208
59	2177	34120
60	2211	34049
61	2241	33913
62	2274	33822
63	2306	33731
64	2337	33630
65	2368	33523
66	2400	33428
67	2436	33389
68	2468	33301
69	2499	33212
70	2532	33131
71	2568	33107
72	2604	33077
73	2641	33058
74	2677	33025
75	2715	33009
76	2753	33010
77	2790	32982
78	2830	33000
79	2867	32981
80	2904	32954
81	2939	32910
82	2976	32883
83	3013	32864
84	3050	32833
85	3085	32791
86	3114	32682
87	3146	32609
88	3177	32521
89	3209	32454
90	3241	32380
91	3275	32327
92	3309	32273
93	3341	32207
94	3377	32170
95	3409	32109
96	3442	32046
97	3475	31992
98	3511	31954
99	3546	31915
100	3584	31902
101	3620	31871
102	3661	31888
103	3698	31864
104	3731	31807
105	3764	31746
106	3796	31681
107	3830	31640
108	3865	31594
109	3895	31521
110	3928	31461
111	3965	31437
112	3999	31393
113	4037	31378
114	4072	31336
115	4107	31305
116	4144	31276
117	4182	31261
118	4219	31238
119	4255	31209
120	4292	31182
121	4330	31164
122	4367	31140
123	4400	31085
124	4433	31036
125	4469	31003
126	4503	30959
127	4541	30939
128	4578	30915
129	4611	30859
130	4645	30814
131	4683	30794
132	4719	30768
133	4759	30761
134	4794	30722
135	4832	30702
136	4880	30746
137	4934	30824
138	4981	30854
139	5018	30828
140	5055	30798
141	5091	30762
142	5126	30725
143	5163	30693
144	5196	30639
145	5233	30612
146	5273	30600
147	5308	30557
148	5344	30523
149	5377	30472
150	5414	30445
151	5445	30380
152	5477	30323
153	5508	30263
154	5541	30210
155	5573	30152
156	5604	30090
157	5637	30041
158	5669	29990
159	5703	29942
160	5734	29885
161	5767	29832
162	5799	29782
163	5834	29739
164	5866	29686
165	5900	29643
166	5935	29608
167	5973	29582
168	6006	29536
169	6041	29498
170	6074	29447
171	6105	29393
172	6138	29346
173	6174	29311
174	6204	29251
175	6238	29205
176	6268	29145
177	6300	29094
178	6331	29041
179	6364	28992
180	6396	28942
181	6429	28898
182	6460	28842
183	6491	28790
184	6524	28744
185	6558	28703
186	6588	28644
187	6623	28605
188	6657	28568
189	6690	28522
190	6721	28470
191	6754	28425
192	6793	28407
193	6830	28376
194	6864	28337
195	6897	28293
196	6931	28254
197	6968	28226
198	7004	28193
199	7039	28159
200	7078	28137
201	7114	28107
202	7148	28064
203	7184	28032
204	7218	27995
205	7252	27952
206	7286	27912
207	7319	27870
208	7353	27831
209	7387	27792
210	7422	27755
211	7457	27718
212	7492	27682
213	7523	27633
214	7556	27589
215	7590	27551
216	7621	27499
217	7658	27472
218	7694	27438
219	7731	27410
220	7772	27397
221	7808	27366
222	7843	27330
223	7880	27299
224	7916	27266
225	7950	27229
226	7990	27208
227	8026	27178
228	8063	27147
229	8102	27127
230	8147	27121
231	8185	27095
232	8222	27068
233	8258	27034
234	8292	26995
235	8330	26969
236	8378	26975
237	8463	27096
238	8505	27082
239	8538	27038
240	8572	26998
241	8604	26952
242	8635	26902
243	8667	26854
244	8703	26821
245	8736	26778
246	8767	26728
247	8803	26693
248	8835	26648
249	8869	26609
250	8907	26581
251	8946	26555
252	8991	26548
253	9027	26513
254	9065	26486
255	9103	26457
256	9152	26461
257	9189	26427
258	9226	26396
259	9280	26412
260	9327	26410
261	9367	26386
262	9407	26363
263	9444	26330
264	9484	26305
265	9523	26279
266	9558	26240
267	9596	26212
268	9633	26179
269	9674	26156
270	9712	26125
271	9749	26094
272	9786	26061
273	9821	26024
274	9858	25989
275	9899	25968
276	9938	25940
277	9980	25919
278	10036	25937
279	10089	25945
280	10127	25912
281	10166	25885
282	10206	25858
283	10246	25833
284	10285	25803
285	10322	25770
286	10359	25736
287	10396	25703
288	10436	25674
289	10477	25650
290	10514	25618
291	10554	25590
292	10591	25556
293	10627	25521
294	10660	25477
295	10694	25435
296	10725	25387
297	10758	25343
298	10791	25299
299	10824	25257
300	10856	25211
301	10893	25177
302	10932	25147
303	10969	25115
304	11004	25076
305	11036	25031
306	11072	24993
307	11106	24952
308	11137	24906
309	11171	24865
310	11201	24816
311	11233	24772
312	11269	24735
313	11301	24689
314	11335	24651
315	11369	24609
316	11399	24560
317	11432	24519
318	11466	24478
319	11497	24432
320	11533	24395
321	11565	24352
322	11598	24309
323	11630	24266
324	11665	24228
325	11698	24186
326	11733	24149
327	11768	24111
328	11802	24071
329	11833	24024
330	11867	23985
331	11906	23956
332	11942	23920
333	11977	23883
334	12013	23848
335	12047	23808
336	12082	23770
337	12121	23741
338	12185	23760
339	12227	23734
340	12260	23693
341	12296	23657
342	12330	23617
343	12363	23576
344	12396	23536
345	12432	23498
346	12468	23463
347	12503	23425
348	12537	23386
349	12570	23344
350	12603	23303
351	12637	23264
352	12671	23224
353	12702	23180
354	12736	23140
355	12768	23098
356	12802	23058
357	12836	23019
358	12872	22983
359	12906	22945
360	12941	22906
361	12975	22869
362	13007	22826
363	13040	22784
364	13071	22741
365	13102	22695
366	13134	22654
367	13168	22615
368	13200	22573
369	13232	22531
370	13265	22490
371	13296	22446
372	13328	22405
373	13363	22367
374	13398	22330
375	13435	22297
376	13472	22263
377	13510	22231
378	13545	22194
379	13580	22157
380	13615	22121
381	13651	22084
382	13686	22048
383	13724	22017
384	13766	21990
385	13804	21959
386	13843	21928
387	13885	21902
388	13924	21870
389	13961	21836
390	13994	21797
391	14031	21763
392	14073	21736
393	14115	21711
394	14151	21675
395	14188	21641
396	14228	21611
397	14264	21576
398	14301	21541
399	14342	21513
400	14379	21478
401	14416	21444
402	14456	21416
403	14490	21377
404	14528	21343
405	14566	21311
406	14605	21280
407	14641	21244
408	14672	21201
409	14726	21191
410	14764	21158
411	14808	21134
412	14842	21095
413	14878	21060
414	14917	21028
415	14954	20993
416	14989	20956
417	15025	20921
418	15063	20888
419	15100	20852
420	15136	20817
421	15173	20782
422	15210	20748
423	15246	20712
424	15287	20682
425	15322	20645
426	15359	20610
427	15400	20581
428	15439	20550
429	15473	20511
430	15509	20475
431	15546	20441
432	15583	20405
433	15623	20375
434	15674	20358
435	15725	20342
436	15768	20314
437	15817	20295
438	15854	20261
439	15890	20223
440	15928	20191
441	15967	20157
442	16004	20122
443	16038	20083
444	16072	20045
445	16104	20003
446	16145	19974
447	16178	19934
448	16209	19891
449	16240	19849
450	16270	19805
451	16302	19765
452	16334	19723
453	16362	19678
454	16407	19652
455	16439	19612
456	16471	19571
457	16505	19533
458	16539	19494
459	16575	19458
460	16612	19423
461	16648	19387
462	16681	19347
463	16713	19307
464	16743	19263
465	16775	19223
466	16812	19188
467	16845	19148
468	16878	19110
469	16919	19079
470	16953	19040
471	16990	19006
472	17032	18977
473	17069	18942
474	17107	18908
475	17143	18872
476	17181	18838
477	17219	18804
478	17252	18764
479	17288	18729
480	17327	18696
481	17363	18660
482	17402	18627
483	17443	18597
484	17489	18571
485	17530	18540
486	17568	18506
487	17604	18470
488	17637	18431
489	17669	18390
490	17704	18354
491	17738	18315
492	17774	18279
493	17804	18236
494	17835	18196
495	17869	18157
496	17905	18121
497	17937	18081
498	17978	18050
499	18018	18018
500	18059	17987
501	18101	17957
502	18139	17922
503	18177	17888
504	18211	17851
505	18246	17813
506	18289	17784
507	18322	17745
508	18356	17707
509	18388	17666
510	18424	17631
511	18460	17595
512	18494	17556
513	18528	17519
514	18562	17481
515	18594	17440
516	18625	17400
517	18662	17365
518	18694	17326
519	18731	17290
520	18766	17253
521	18802	17217
522	18840	17183
523	18876	17147
524	18913	17111
525	18950	17077
526	18983	17038
527	19021	17003
528	19056	16967
529	19091	16930
530	19125	16892
531	19158	16853
532	19189	16813
533	19223	16775
534	19260	16740
535	19298	16705
536	19337	16672
537	19393	16653
538	19434	16622
539	19465	16581
540	19499	16544
541	19536	16508
542	19573	16473
543	19607	16435
544	19640	16397
545	19678	16362
546	19711	16323
547	19744	16285
548	19775	16245
549	19809	16207
550	19847	16173
551	19880	16135
552	19916	16099
553	19951	16062
554	19987	16025
555	20023	15990
556	20057	15952
557	20096	15918
558	20129	15880
559	20160	15840
560	20193	15801
561	20225	15762
562	20257	15723
563	20290	15685
564	20324	15648
565	20358	15610
566	20391	15572
567	20422	15532
568	20456	15495
569	20491	15458
570	20523	15419
571	20559	15383
572	20599	15351
573	20639	15317
574	20675	15281
575	20704	15241
576	20740	15205
577	20775	15168
578	20810	15131
579	20850	15098
580	20888	15064
581	20936	15036
582	20974	15002
583	21013	14968
584	21051	14934
585	21084	14895
586	21119	14859
587	21161	14827
588	21206	14797
589	21245	14763
590	21285	14730
591	21323	14695
592	21358	14659
593	21392	14621
594	21429	14586
595	21467	14551
596	21504	14516
597	21536	14478
598	21576	14444
599	21613	14409
600	21652	14374
601	21693	14342
602	21729	14306
603	21764	14269
604	21794	14229
605	21829	14192
606	21865	14156
607	21899	14119
608	21935	14083
609	21971	14047
610	22008	14011
611	22041	13973
612	22076	13937
613	22111	13900
614	22149	13866
615	22186	13830
616	22221	13794
617	22256	13757
618	22293	13721
619	22333	13688
620	22365	13649
621	22400	13613
622	22437	13577
623	22473	13541
624	22516	13509
625	22553	13474
626	22590	13438
627	22625	13402
628	22666	13369
629	22704	13334
630	22739	13297
631	22774	13260
632	22815	13227
633	22856	13194
634	22895	13160
635	22947	13133
636	23004	13109
637	23053	13080
638	23090	13045
639	23126	13008
640	23161	12972
641	23194	12933
642	23225	12895
643	23257	12856
644	23288	12817
645	23323	12781
646	23357	12743
647	23395	12708
648	23431	12672
649	23466	12635
650	23502	12599
651	23538	12563
652	23571	12525
653	23603	12487
654	23638	12450
655	23669	12412
656	23704	12375
657	23739	12338
658	23774	12302
659	23809	12265
660	23847	12230
661	23880	12192
662	23915	12156
663	23950	12119
664	23986	12083
665	24020	12046
666	24053	12008
667	24087	11971
668	24120	11933
669	24152	11895
670	24187	11859
671	24220	11821
672	24255	11785
673	24287	11747
674	24322	11710
675	24354	11673
676	24393	11638
677	24431	11603
678	24466	11566
679	24501	11530
680	24536	11493
681	24576	11459
682	24615	11424
683	24653	11389
684	24685	11351
685	24719	11314
686	24749	11276
687	24784	11239
688	24819	11203
689	24858	11168
690	24896	11133
691	24932	11096
692	24973	11063
693	25012	11028
694	25052	10994
695	25091	10959
696	25131	10925
697	25168	10889
698	25209	10855
699	25245	10819
700	25285	10785
701	25317	10747
702	25355	10712
703	25398	10678
704	25440	10645
705	25482	10611
706	25522	10577
707	25558	10541
708	25593	10504
709	25628	10467
710	25657	10429
711	25691	10392
712	25728	10356
713	25765	10320
714	25799	10283
715	25837	10248
716	25878	10214
717	25919	10180
718	25957	10144
719	25995	10109
720	26032	10073
721	26071	10038
722	26106	10002
723	26142	9965
724	26179	9930
725	26216	9894
726	26253	9858
727	26289	9822
728	26323	9785
729	26360	9749
730	26396	9713
731	26433	9677
732	26470	9641
733	26507	9606
734	26546	9571
735	26584	9535
736	26623	9500
737	26659	9464
738	26699	9429
739	26801	9416
740	26855	9386
741	26898	9352
742	26943	9319
743	26979	9283
744	27016	9247
745	27055	9211
746	27090	9175
747	27123	9137
748	27156	9100
749	27190	9063
750	27222	9025
751	27255	8988
752	27286	8950
753	27318	8913
754	27351	8875
755	27388	8839
